dataset,model,short_edge,images,mse,psnr,ssim,time_ms
adobe5kA,CAN32+AN,240,500,0.036506131291389465,14.376341819763184,0.5764387845993042,1.6732374131679535
adobe5kA,CAN32+AN,480,500,0.016436530277132988,17.84189796447754,0.6710285544395447,5.013074237853289
adobe5kA,CAN32+AN,720,500,0.00977076031267643,20.10071563720703,0.7141866683959961,15.282295651733875
adobe5kA,CAN32+AN,1080,500,0.009625277481973171,20.16586685180664,0.7330471873283386,35.610552214086056
adobe5kA,CAN32+AN,1440,500,0.01664532907307148,17.787076950073242,0.7247187495231628,63.36676922068
